ss Хотя некоторым моим знакомым с такси не везет:(
VBebnev	@MarinaGribanova жаль((
 xxx: Никак не могу поймать тебя в он-лайн :(
anec_dot	@Дартаньян: Черт, меня начальник на работе послал :(
__zasada_	@Happily__f Скучаю :( 
Vicki712	@saviik_shuster Это не люди, и даже не звери...Отказываюсь понимать(( 
@Anastyasia19, а ты помнишь тот Чемпионат России? :(
 yyy: по радио 100% не покажут :( #bash
Супер! Только одну песню запортачили:((
Да и нет уже таких :( http://t.co/WMf49bQZVN
Я осталась с расцарапаной рукой:(
И мне больш не кого бесить,друзей ж нет((9
anna_kirillova_	@AlexaSmileBro Я тоже...((( Эти большие цифры,они ужасны..
RinHatsume	@arik_ep а как же батла,дед спейс? :(
dianka5634	@Alinka_June @daria_n2802 и твоя Динка умрет:( 
__rammfan__	@2013Suvorova я ее каждый день пою((9
Маму заебала уже((9
mag_tanya	@Little_Murillo твиты не посылаются :(
KaterinaSavko	Чарли уже дрыхнет, а у меня в спальне света нет:(
__rammfan__	@2013Suvorova пиши мне,а то обижусь((9
__rammfan__	@2013Suvorova ваще обидно((9
у родня на Химмаше и в Центре живёт, а так я сама не из Саранска, я из днища((9
Но очень мелко=(
Ток мне все мой тлф ломают((9
caramelyka	Господи,а Ника то скоро возвращается :| с ума сойти :( 
__rammfan__	@2013Suvorova бля,все испортил последними словами((9
 Просто совсем ты уставшая((( Отдохни, пупс)
__rammfan__	@2013Suvorova ващет пидрилка мое слово(((9
Ох , меня так в сон клонит((
dromodin	@dglebko вот у меня 29.01-02.02 висят. Жду ответа от организаторов:-( Они сообщат только после праздников.
YuraSchneider	@dromodin и потом не очень мне понятна цель акустики в этом зале...где собираются греметь оркестры и вырисовывать балетные па!расстроен(((
ieoogdesazega	@Mefxmaozofene Здравстуйте, зашла на ваш проект с Яндекса и Касперский начал ругаться на вирусы =(
mdhrrcn	зря в столовую сходила, уже деньги потратила :(
neutrinow	алкоголь - зло :(
AXBAXsky	@kuroglieva свегда (((
AXBAXsky	@kuroglieva 🙈 ты че обо мне забиль ? ((((((((((
ProVitalinPapa	@onlinekpru Марка тихо исчезла:нет ни пива,ни машин и горы разрыли((((
komina__	Не могу в Керчь позвонить..скайп тоже не может((
Matroskyn	@kuroglieva это волшебная ночная сыворотка, которое поможет моему лицу, когда оно мало спит((((
kysnec	@berdnikov @abatsia Да твари хохло-бандеровские  смерть им по любому(((
milala64	@lookatme_news  остались ли такин нервы у нас, украинцев?((
nat5110	@izvestiyaKPSS @alekseevamarin С лохи - вы сами, только не поняли еще.Как же долго до вас доходит.......(((((((((
alex_smrnov	@olga_shantser нормальное место, а вот раньше кафешка была на углу спиридоньевского и малой бронной - забыл как называется... ((
Rumpelstiltsken	Аа,  завершение налогового периода...  Все ясно, дальше в ад полетим ((
hu_manezka	@ReggaeMortis1 из жестяных банок по технологии Индии (((
okuzmenkova	Хуевый олян(((
svaluev	@vovka307 ну вот так получилось ((
Alessandra_Mazu	В один день и соревы и дискотека-многовато для ног:(
veny67	Джо Кокер УМЕР(((((((ГОРЕ БОЛЬШОЕ, ДЛЯ ВСЕХ ЛЮБИТЕЛЕЙ ХОРОШЕЙ МУЗЫКИ(((((
richardijig1	Mike Мария, я для вас стих придумал Mike Маша - няша ^__^ Kiddor про меня сочини Mike Эимммм Mike Я боюсь :( #bash
meinebrotchen	-А я Стас по гороскопу(((99((9 БЛЯТЬ ОРУ ВИЗЖУ ПЛАЧУ ААПААПАААЖАЭАЭАЭА
old_katarn	@flowerflavor @imgur не видео ничего :(
nice_hamster	@uKenobi @wywyzela за все нужно платить :(
dmoskvicheva	А еще главная беда - купила кучу украшений для подарков.. А они все такие неудобные. А коробок у меня нет :(( жизнь боль
tokyo_blueberry	хееей .... бро инсту удалил ((((
zzzsuperman	@SashaSpilberg https://t.co/tmaP9oCaVc вот видио доказательство тварь((((((((((((((((((
Kuuuzya	@denismajor @toptopt0p подарки приехали, но покера среди них для меня нет =(
19LUCHS69	@necrozmozga а... Ни разу не удалось послушать :( я вообще больше читательница, чем слушательница
BogdanVardko	@19LUCHS69 @podrobnosti сколько же дерьма вверх всплывает ((
ShakinVladimir	НАТО против России | Михаил Делягин  http://t.co/3IauFYTBDr Не думаю..Хотя всё возможно? Тихо шифером шурша,крыша едет не спеша!((
kachumailo	@DerArto офигенно, но, к сожалению, не мое((
MLapina42	Красота космическая!! Жаль, не рассмотреть ближе, яндекс не пускает в альбом((
AGordeeva36	Я не умею, для этого наверно надо что-то знать, а я ничего не знаю :(
AMarkova36	У меня ни один браузер не открывает :((( (Navigation to the webpage was canceled)
KMuhanova31	вот куда они, деньги налогопалтельщиков, попадают((((:
WillieNewby	Да не особо. :( Видимо, плеера для встраивания теперь не будет.
orientalist_v	У меня только сегодня приключилось. Последнее время все картинки я через яндекс загружаю, но ведь старые жалко! :-(
greenarinea	Смотрю на ваши фото и душа радуется, Я к примеру снял за последние 2 года 1,5 тб фотографий, из них для души штук 200 :(
newidimka_mao	у меня ни один код для визита на визите не сработал :(
strikaloebal	@GoofyAsshole это только для ровных пацанов(((
eximinles1981	не совсем в тему, но раньше у тебя музыки было много новой хорошей, а щас что то мало нового( не послушать((
scorpionnatalya	Это еще достаточно быстро "руки дошли посмотреть" - двух и трехлетние немецкие путешествия так и лежат на диске :(
haitan_srany	Да уж... это расстраивает, что для нее это "норма"(((
minikamelesh	Я с этой сессией скоро ни в одни штаны,ни в одно платье не влезу!Но для историка это не аргумент(( #сессия #история http://t.co/AZL6d50u7h
kjanawynilazis	Сам в такой занятости нахожусь третий месяц, что совершенно нет времени для всех хотелок :(
pocapefomep	А у меня первый диск не хочет запускать усановщик ((
revina031	Папа только что ходил за передачей от бабушки саше передали деньги а мне ничего !!!!!!:( но папа что-то маме шепнул на ушко мне интересно
malaniyal7	Брюки с принтом ищу долго и безуспешно :( И даже ткань для пошива пока не могу найти подходящую.
loch_pearl	А уж сколько врачи зажимают бесплатных для нас лекарств и талонов на специалистов и платных анализов - вообще молчу :(
dafna_audron	А я сдуру почти в 4 утра решила пройти, набрала 137, хотела сохранить для потомков и не получилось:( Тоже мне, гений, называетеся...
JaniceJoanna1	Пробки в Москве это пиздейшн((
subsconmacor197	И мне, и мне Арефьеву! нигде не могу второй диск мр3 найти! =(
siljutari1986	Надо же, теперь это тренд :( теперь они несколько потеряли в своей ценности для меня
KNijegorodova53	у меня без использования zenmate ни яндекс браузер, ни гуглхром не заходит. ошибка dns, говорит. интересные дела :(
AlexandeJeannin	Пробки в Москве это пиздейшн((
HutchinsPiers	Пробки в Москве это пиздейшн((
StricklandDyla1	Пробки в Москве это пиздейшн((
VladizKurska	@lifenews_ru жаль его http://t.co/YIN32LBcNV =( я тож дайвинг хочу попробовать!
SidneyWilliam3	Для заказа: Пишите: http://t.co/pVxwJFvQmv Звоните: (063) 315-15-93 (096 ...
timophy7	@ukrpravda_news Чото мало((( Шины же у Яйценюка такими темпами быстро не появятся. По 25 сразу сделать. Доллар нормальная же цена для Европы
Bags_Bunny	@callmeredrobin я честно долго и упорно нажимал кнопку МНЕ ЭТО НЕ ИНТЕРЕСНО, но лента все равно не пустеет((
Victor_Korb	@QiwiRussia У меня был один вопрос, а точнее, законное требование: восстановить доступ к незаконно заблокированному кошельку. Он подвис :-(
judahshomie	@Kenobius, райанэйр-хуйянэйр. Вот они, лоукосты! Жаль, что на март-апрель нет :(
Rezedashechka	Для меня поездка домой,как заграницу-очень хочется,но получается ездить очень редко((За декабрь первый… http://t.co/xuVw98PLEh
chriskuhareva	_Master_: жёсткий диск с порнухой накрылся содержимым :(
TRVCYHVLL	@BlazeTVrussia аааа ну такой инфы я не знал! =(((
svetocheki	@hundzhi_bundzhi в прошлом выпуске мигель сказал, что для него лидеры пануфник и савченко, а сейчас вот так поступил, я вообще не ожидала((
termik_bum	@navalny @WYSLPG_YA_MD  Грустно всё это. Хана нашей свободе.( Жены "декабристов"....(( http://t.co/muaciDyPE4
VeraUralova	@LudmilaSadovaja Как обычно((
nasonovkirill	@kononenkome это хорошо, что не писали. Не укладывается это у меня в голове.. Вы же не глупый, умеете анализировать, а тут такое((
SomeAndyLom	Я мудак, который не спит в ночь 31 числа, чтобы нормально, выспавшемся, встретить Новый Год. :(
Hedgehorn	@neresident @ozalup обидно, только ж газовую камеру построили:(
Sofa_Zelik	@tetatet1212 лекарства.которые выписала в прошлый раз! назначила снотворное и успокаивающее в одних таб,я очень плохо сплю,и всё!Устала!((
KSHN	@Russia_calls Вы((((
enderunicorn	@distortedpain_ ааааа..(((
CcNicol195	@5channel Ужас!(((
Another_Bee	@liluh1 все вместе.лучше бы работали,гады((
milala64	@senko @VladiPol это днище дна((
Rkpzhmtr	@sclhpstr скоро и Бузова свалит ((
rk_marfenina	Ух. А чего карты на русском купила? =((
aakarimova	@Krammarton @nehay82 где вы там её увидели. нет её у меня((
disko_forever	@eldorado_stores скажите, мтс Бонусы можно у вас потратить всем номиналом или только оплатить 15%от покупки? Консультанты ваши не знают(((
ABUKumb	Оказывается ёлка,я думал куст везёт открыто((( http://t.co/3bKb3Pi2a7
mashalaufer	@tekunova а мне не видно :-(
marusia_klimova	@GrigoriySergeev ((( печаль
tekunova	@mashalaufer Ого :-( ютюб не работает?
anikolsky	@Filonova увы в 14 не могу в 15 съемка на востоке((((
kazz_by	никто не предупредил, что в осенних красивых перчатках на улице холодно (((
aliciamillor	Был один Навальный...Власть сделала два и даже больше, гораздо больше.... Хоть мне он и не нравится....((
Filonova	Дубль. Мужчины, срочно нужна помощь! В 14ч забираю друга из больницы, там много вещей, нам обоим нельзя тяжелое =( Кантемировская. Помогите!
ukrainathebest1	@max_katz Двадцатка на всю Москву?"никогда мы не будем братьями..."(((
VolkonaVT	@GrigoriySergeev @Never525 Опять((
shalin_p	@akahamlet @VasilyKonov @komandnaya  в #Пермь  в "Жемчужине" такие же правила :-((
Aneto74	@seodice ага :( не дождался славы.
pani_walewska	@godzilla_a_a ох, балуете меня своим вниманием....к такому быстро привыкаешь...могу подсесть (((
A_Chestnov	@TulaFootball все дальше и дальше(((
pushkinradio	@IgorZ_ua @euro_manezhka Господи,какой же #FACEPALM ваш креатив. Просто пиздец! (((( Вы реально не врубаетесь,чего хотят нормальные девушки.
budapest_inna	@LevSharansky Детский сад.((
1inga	@Kosmadrom Я очень, очень понимаю! И, поэтому мне больше хочется молчать пока...Но, все равно не получается((
fillip_ina	@EKLMNde Всем не получится, увы :(
pechNnik	@VikaVirta Это просто больные почки...(((((
egor_kenny	@max_katz @svirin42 ага вот и ответ "вышло как вышло" мда :(
kir_lim	@ded_edros надо ж клиент для твиттера использовать. Веб-интерфейс - сильно ограниченный :-(
CannyLar	@hatter68 @noputin2012 @mich261213 Из настоящего:и получаете посты и ордена((((
DrujisheBro	Я КЛЕЙ ПОТЕРЯЛ :((
CannyLar	@_Anfiska_ @ls2213 Отрабатывают госфинансирование.Прислуживать нетошно...(((
Dronrud	@netovetz @VagifAbilov Больной умер, а ведь теплилась надежда(((((((
netovetz	@dm_e @vadim_dergachev ужас какой((
kotonly	@yozhvtumane я! Но нет((
s8urn	@pavel_urusov тогда я терминатор. Деньги, айл би бэк :(
s8urn	@pavel_urusov Бгг. А если даже продавать нечего, это какая стадия? :(
alexeyenco	@goutm Че-то лисичек захотелось! Но без вариантов нынче:(
romi77roman1	@rianru @WakeUpR А где не сказал(((
AlexandraMonday	Эх..пичаль(( а я хотела оформы пооценивать ну или картиночки покидать с музыкой всем:с
ChudoMorkovnoe	Предвкушаю поход в Детский мир за Лего для Вики так, как будто я себе его покупаю. (Хотя я тоже хочу Лего ;((( )
Nxyfkvunuhose	а было что посмотреть(((( жаль. деньги ставили на карту
olga_shantser	@maroussia1985 звучит как "Вас проводит Харон"((
stychinskaya	@The_7th_Proof на мой взгляд очень бездарный и пафосный текст(( ну с другой стороны оттуда других и не приходится ждать
AGadjiev27	Взяли власть,и теперь майдан для них уже не тот.Мешает он им так же как и януковощу мешал.Что с людьми власть делает(((.
kanclerxam	3. Для Силиврен это было печально, но логично, увы :(
LaysNastusha	@chistyakovak98 Каааааааааать, можно с тобой сфоткаться, а то звезда ты моя занятая :(
MJdanov31	Да, про деньги - знакомая история :(
ShaneAileen1	Для крепких и белых ногтей приготовьте пасту из: (все по пол чайной ложки ...
ingrid_kori	для меня любителя еды это как пытка находится не в россии и пропускать такие шикарные номера (((
sparrowoff	Боюсь, что это верно-верно. Для кучи наших бывших продуктов :(
NajeraOpal1	Я сам мучился в этих жутких семидесяти километровых пробках на хайвеях(( В конечном
DeanElnora1	Я сам мучился в этих жутких семидесяти километровых пробках на хайвеях(( В конечном
